Date,KRW,DXY,OIL,KOSPI,US10Y,SP500,VIX,KOR_RATE,US_CPI
2015-03-27,1102.949951171875,97.29000091552734,48.869998931884766,2019.800048828125,1.9479999542236328,2061.02001953125,15.069999694824219,1.0,235.976
2015-03-30,1101.72998046875,97.9800033569336,48.68000030517578,2030.0400390625,1.9630000591278076,2086.239990234375,14.510000228881836,1.0,235.976
2015-03-31,1105.5,98.36000061035156,47.599998474121094,2041.030029296875,1.934000015258789,2067.889892578125,15.289999961853027,1.0,235.976
2015-04-01,1107.0999755859375,98.19000244140625,50.09000015258789,2028.449951171875,1.8680000305175781,2059.68994140625,15.109999656677246,0.75,236.222
2015-04-02,1097.8699951171875,97.44000244140625,49.13999938964844,2029.0699462890625,1.9040000438690186,2066.9599609375,14.670000076293945,0.75,236.222
2015-04-03,1089.1199951171875,,,2045.4200439453125,,,,0.75,236.222
2015-04-06,1089.1199951171875,97.11000061035156,52.13999938964844,2046.4300537109375,1.9040000438690186,2080.6201171875,14.739999771118164,0.75,236.222
2015-04-07,1089.1199951171875,97.83000183105469,53.97999954223633,2047.030029296875,1.8930000066757202,2076.330078125,14.779999732971191,0.75,236.222
2015-04-08,1092.3199462890625,98.06999969482422,50.41999816894531,2059.260009765625,1.8949999809265137,2081.89990234375,13.979999542236328,0.75,236.222
2015-04-09,1090.1500244140625,99.16000366210938,50.790000915527344,2058.8701171875,1.9579999446868896,2091.179931640625,13.09000015258789,0.75,236.222
2015-04-10,1093.7900390625,99.38999938964844,51.63999938964844,2087.760009765625,1.9509999752044678,2102.06005859375,12.579999923706055,0.75,236.222
2015-04-13,1091.93994140625,99.48999786376953,51.90999984741211,2098.919921875,1.9390000104904175,2092.429931640625,13.9399995803833,0.75,236.222
2015-04-14,1099.8900146484375,98.76000213623047,53.290000915527344,2111.719970703125,1.9040000438690186,2095.840087890625,13.670000076293945,0.75,236.222
2015-04-15,1090.300048828125,98.33000183105469,56.38999938964844,2119.9599609375,1.899999976158142,2106.6298828125,12.84000015258789,0.75,236.222
2015-04-16,1093.6199951171875,97.41999816894531,56.709999084472656,2139.89990234375,1.878000020980835,2104.989990234375,12.600000381469727,0.75,236.222
2015-04-17,1082.5899658203125,97.5199966430664,55.7400016784668,2143.5,1.850000023841858,2081.179931640625,13.890000343322754,0.75,236.222
2015-04-20,1081.8900146484375,97.94000244140625,56.380001068115234,2146.7099609375,1.8949999809265137,2100.39990234375,13.300000190734863,0.75,236.222
2015-04-21,1081.1800537109375,97.9800033569336,55.2599983215332,2144.7900390625,1.9160000085830688,2097.2900390625,13.25,0.75,236.222
2015-04-22,1081.3199462890625,98.0199966430664,56.15999984741211,2143.889892578125,1.972000002861023,2107.9599609375,12.710000038146973,0.75,236.222
2015-04-23,1083.0,97.27999877929688,57.7400016784668,2173.409912109375,1.9470000267028809,2112.929931640625,12.479999542236328,0.75,236.222
2015-04-24,1080.02001953125,96.91999816894531,57.150001525878906,2159.800048828125,1.9170000553131104,2117.68994140625,12.289999961853027,0.75,236.222
2015-04-27,1074.3800048828125,96.7699966430664,56.9900016784668,2157.5400390625,1.9240000247955322,2108.919921875,13.119999885559082,0.75,236.222
2015-04-28,1067.81005859375,96.08999633789062,57.060001373291016,2147.669921875,1.9730000495910645,2114.760009765625,12.40999984741211,0.75,236.222
2015-04-29,1062.8499755859375,95.12000274658203,58.58000183105469,2142.6298828125,2.0350000858306885,2106.85009765625,13.390000343322754,0.75,236.222
2015-04-30,1068.969970703125,94.5999984741211,59.630001068115234,2127.169921875,2.0460000038146973,2085.510009765625,14.550000190734863,0.75,236.222
2015-05-01,1075.06005859375,95.30000305175781,59.150001525878906,,2.117000102996826,2108.2900390625,12.699999809265137,0.75,237.001
2015-05-04,1075.06005859375,95.4800033569336,58.93000030517578,2132.22998046875,2.134999990463257,2114.489990234375,12.850000381469727,0.75,237.001
